sentiment,tweet
Negative,bak at mi place...still in pain  ......feelin kinda sick still frm da smoke frm my mommas amiga's crib...hit up da cell or msg me online
Negative,the classic lite online....   girl...the songs they be playing on there have me wanna jump off a freaking roof!!!!!!!!!!!! 
Negative,"Ugh...  #Cubs/Sox game on WGN, but with the Sox announcers.  "
Negative,"@lanifan So sorry, Rosie!  My buddy Ryan just lost his cat today too.  "
Negative,At work...Thinking about things when I should be working 
Negative,Dude... @Erikaluvsninjas just stole my phone... Hahahaha but this garage sale IS a fail  &amp; its sooo cold i can barely type this lol
Negative,"Bah. I cannot get iplayer to work on the tv. I was hoping to see the Mauresmo match, but am now relegated to iplayer online "
Negative,@BrookeJasmyn  everytime I'm at dunkin the doughnuts are always old and dry. I've had bad days w/ them perhaps... Now you have me wan ...
Negative,tonigh is an emo night.  http://plurk.com/p/rjsb4
Negative,"God, I need to stop procrastinating. However, whenever I feel like working, my medication starts to kick in. Why? "
Negative,has to do something about the stuck model in his head  has to finish up and write it up and be done with this whole thing
Negative,"itunes shuffle, you were so perfect before, playing all brighten. what happened? "
Negative,@jrl7 Any luck on tracking down the EventCombMT creator? 
Negative,@stephspencer i wont even be on the cruise  just summer tour
Negative,"Getting ready for church, but I'm probably not going... UGH. Sick today, everything is a pain... "
Negative,Ok I just officially drank this whole bottle of wine... 
Negative,@brandonaaron yup..writing an article now on encapsulation for beginners... i've got &quot;var self=this;&quot;preceded by &quot;in jQuery 1.3.3....&quot; 
Negative,@janicu How did we miss each other you at BEA? 
Negative,@SpeshalCrayon Too easy 
Negative,WTH no nadal in wimbeldon.. 
Negative,@t4mmy aww that sucks!! 
Negative,@Knot2serious I never went to sleep! 
Negative,Ohmy. - zoethemuppet: agreeedï¿½! doctor who just isnï¿½t going to be the same without him  I know! I am... http://tumblr.com/x7z1ww3kn
Negative,"@__mares__ I dont think Dexter's father would approve him getting a passport - not that he cares, just to be difficult "
Negative,Twilight breaks my heart everytime I watch bella tell charlie she's leaving 
Negative,So exhausted. Can't sleep. Orientation in less than 10 hours... Fail 
Negative,"@JennAWhitson said I should tweet our last convo... In order to spend time with my dad this weekend, I had to buy City Stages tickets "
Negative,i wish i had gay friends to shop with 
Negative,@Appleguy79 You and me both.  
Negative,"Woke up at 10 thinking, &quot;surely this virus is on it's way out!&quot; But nooooo, it's still there! "
Negative,Time to gef my lazy Maui butt outta bed. 
Negative,"No more laker parade for me.. Dammit, i was ready w my purple&amp;gold too !  Oh well, try again next yr when we win again !"
Negative,@Rissa545 i was in it! Slighty drowned i should say 
Negative,"@BlondeByDesign Happy Monday, Sprite! How are you? How is your toe? I hope better "
Negative,"Running errands, then off to summer school. "
Negative,soo sick   sup stayin in to sleep and watch movies tonight..
Negative,"This is a hard choice tonight, unfortunately there has to be a bottom 3 couples on SYTYCD, "
Negative,At macy's right now.. Miss shopping.. 
Negative,ashley tisdale-How do you love someone? this song is what im going through 
Negative,my eye sight has gone even worse. 
Negative,Woke up sick 
Negative,"I'm depressed, it now costs more than 25 dollars to fill my gas tank "
Negative,"@thenewcities i was hoping you guys would win an mmva, "
Negative,"@karenbyrne I am watching #churchonline, but I can't get the chat to work - "
Negative,i slept for an hour and now i'm wide awake despite being tired as hell... my sleeping is all wacky today 
Negative,@marvelouscherry are you serious? they couldn't make an exception for *1/2* credit? that's ridiculous! 
Negative,"@tommcfly Married me? haha Right, who are you night? (I don't speak english, sorry  ) Love you, xx"
Negative,I really need to work on my ads....the only &quot;customers&quot; I get are scammers and people trying to sell me something. 
Negative,@leslielu2 I want to live there - He never comes here - I would pay anything...  
Negative,"all of these pictures from @twilightlexicon make want to go to forks, really really bad.. sighhh "
Negative,Gonna take a nap wit my hubby b4 he goes 2 work! 
Negative,Was featured this weekend in the local paper along with @corningcoupons -unfortunatly no online version of article  #cny
Negative,"The left side of my face is still numb. Can't talk, drink, eat, smile and my ear/lip hurts  I'm just gonna sit here until it gets better."
Negative,i'm home...and still drunk  and the follow friday madness has begun eh?
Negative,Just a few hours to know if Kaka will leave ACMilan or not... Hope he stays... 
Negative,@Jimmy_Lemon  @whyvee  @marcelbooth hamster's stalled here too 
Negative,@john_l_wilkes http://tiny.cc/qg0Co not showing photo - 
Negative,@Isak I've had that happen like TWICE. it gets at you too... if you're not careful. 
Negative,@theloveofpink oh no  I hope you're safe xx
Negative,broke my picture 
Negative,Trying to understand this thing. dunno even how to start and from where. 
Negative,English exam in 15 minutes 
Negative,@MattReeves17 thank you sorry i didnt get to tune in...  really sorry
Negative,I feel sad but for a very stupid reason. 
Negative,"@Megmatthews20 I don't blame you!  But, still... watch them!"
Negative,@wnba what's wrong with the WNBA Live Access? it's not working 
Negative,it is really busy at the bank 
Negative,I has spoken too soon. There is account problems 
Negative,Birthday coming up... I feel old. 
Negative,Some things are just too good to be true. 
Negative,no awkwardness pleaseee. and let it end soon!! 
Negative,Just realised I might have been too early in thinking I had recovered this morning. Back to bed rest now 
Negative,Time to assemble my ALDI BBQ - so many screws - so much fewer than the manual says I should have 
Negative,Sista is leaving around noon. 
Negative,"I went to Laos temple for our New Year's celebration.  I had so much fun, ate too much.  Now I'm back to work "
Negative,@Twisted4Jordan  nope can't afford to fly  
Negative,@hannastasia aww man!! that would be fun!!  im sooo behind in design i dont know what im gonna do   oopsy
Negative,"by elbows itch  its hard to scratch other hard places: fingers,toes"
Negative,@Hals7747 aww why? 
Negative,@Fuzzy2230 i need a pandol too actually  my head hurts!
Negative,@chevale  looks like u have to stay up all night to do the assignments  hehe no I'm not sleepy. still online &amp; twitting! ;D
Negative,"@AlvinW0ng by the time the church starts, i'll be in the sky already :p i'm so gonna miss Planetshakers! "
Negative,A day before the exam and I still can't bring myself to revise the crappy subject 
Negative,Just ate a veggie burger via grille with Ace Enders. Good day already! I wish Jenna was here 
Negative,@ZindelaYentl Awww.. That's kinda sad.  Tweet ya tomorrow!
Negative,@SexyTellMe im sorry  whats going wrong?
Negative,had a disappointing evening 
Negative,Computer died while tryin to upload facebook video 
Negative,"@Oh_Ken what a pity. i had a walmart around the corner, but every walmart in germany closed down "
Negative,is back---after rebooting---darn! my laptop got 'virus' 
Negative,[Nokia] should produce a GPS enabled NFC cell phone. Combining a GPS box in a truck 4 localization and a cell phone 4 data input is ... 
Negative,"I guess when i say AMAZING pics I mean POWERFUL pics... amazing is a good thing, all those pics are not of good things.  #iran"
Negative,"Eww psych final today  not too excited, but i do get to see GItzen tonight to watch all our shows haha we're like old ladies"
Negative,@chrisj1k dang I'm wide awake with nothin to do 
Negative,@davidrankin I read that on Wikipedia... that's so sad.    He was extremely talented - every sample he picked out went perfectly.
Negative,@DutchDNRO I need sum company 2 
Negative,@staceysterling sheesh! I missed having direct access to you  i've been on my BBM heavy lately too..just not the same without you :'(
Negative,havening a sleepover with megan but she fell asleep on me 
Negative,"@bookgeek227 Yeah, I'm hoping it's just a viral infection. I'm not as sore today which is good. But, I did over do it a little "
Negative,My connection is still slow.. Seems it will be sorted only on Monday.. BSNL guys! 
Negative,"@SITTINGINTHEBAC well, that's the thing you can't "
Negative,working all day on mother's day  sad that i cant spend it with my mom! but at least i can see all the happy mothers getting massages!
Negative,heading home  yesterday was soo funn ;)
Negative,Stupid chris phone keeps hanging up on me 
Negative,What a shitty start to my day...just what I needed-- 
Negative,gonna spend mother's day in crawl space and garage moving everything from external walls for termite treatment tomorrow.  cobwebs. ick. 
Negative,"last class for the week...1 week down, 5 more to go. "
Negative,Printing additional information for the accountant - oodles of pages 
Negative,I just called Buttonwood and they disnt answer  i wipl call again at 2 haha
Negative,Is @ work having a soso day. I'm missing the way it use to be here 
Negative,@SanfordLOL without me dawg? 
Negative,"jealoooousssssss that @Haniie 's at Sherwood right noww, with MCFLYY! And i'm home! "
Negative,"I hate myself for being so stiff, cold and distant :| I'm sorry "
Negative,"I've seen monkeys, geckos, and spiders as big as my fist... I have a feeling snakes are not too far off in the distance "
Negative,Hey @IamSpectacular  y is ma ustream sooo slow??   (Spectacular Live live &gt; http://ustre.am/3m2D)
Negative,@BethDanielle Best song in a movie ever!!! I'm glad you see the awsomeness of Bennie and the Jets! And I'm sorry... 
Negative,is EXCITED about tomorrow..but i have a stinkin huge headache at the moment and its stromin 
Negative,I have to pick up my heart off the ground  i just had a lil kid ask me 2 buy him cereal 4 him N his sister.Glad i had $! Feels good 2 help
Negative,where are my parents? 
Negative,"ughh , sickk.  -.- need shoes for grad and accessories. NEW BATHING SUIT!! need it for tuesday water park "
Negative,"@jerryjordak They didn't have Hitchens' book either, FWIW. "
Negative,Got severe hayfever and had to stay home  Watched loads of ER and Friends 
Negative,got burnt during work.  hurts...
Negative,@julescavalier i'd tell you you're beautiful but you never seem to believe me  its trruuuueee! &lt;3
Negative,"So tired,  1 down 3 more days to go!!"
Negative,Went to my grandma's with the sunroof open and a million moquitos flew in. :/ 
Negative,Missed the 1st trolly. Running late now. I HATE that feeling. 
Negative,"@_hikky Still got a machine with PCI gfx card. Just PCI, no additional &quot;e&quot;. My VLB machine fubar'd, though "
Negative,@itscalum010  that sucks. did you go to town? didn't see you.
Negative,@Brii_is_me NO  my mom was supposed to watch Jacob tonight but she went to get my niece and forgot...
Negative,@whyvee Welcome home! Sounds like a hell of a journey back 
Negative,The wireless on my macbook works now... if only my ipod did too. 
Negative,i hate it 
Negative,is cleaning house...  http://tinyurl.com/cezk4p
Negative,has just woken up from a cat nap  seriously tired i cant function i need.......foooooooooooooooooooooooood 
Negative,@zaida21  you didn't inform us in time...
Negative,ohmygod. stupid english homework. 
Negative,Eff! I'm coming down with a cold. 
Negative,"@ryan_kanyay I'm really sorry, Ryan  !"
Negative,"Speaking of @neilhimself, have been pulling every string at my disposal to try and get a ticket to see him at Luminato Jun 8. No luck "
Negative,just stayed at home cuz my daddy is sick 
Negative,"@woolboo Wow, late for an hour is a long time! You should leave! "
Negative,Stomach feels very bad.  Hoping I'm ok for my drive to work and the 9 hour shift I'm there for.  Just want to crawl back into bed.  
Negative,oh wow...so didn't want ashley to go!   gotta love thursday cuts.....sad!
Negative,I feel like shit. 
Negative,@DJFillmatic it was slow!  but whatever... We were running late and I didn't get a chance to check you out! Can u DM me ur #?
Negative,yes! computer is running again! cant use twitter with my new phone though 
Negative,&amp;nd on top of dat i think im gettin sick thanx to SOMEBODY! smh 
Negative,"bored  all i can do is watch dvds, zz."
Negative,not happy about missing practice tomorrow because i'll be stuck working indoors for the entire day 
Negative,@Doug_Williams Lawl~ I would not look good in a little bikini  trying to not have to wear something like that for Ysera
Negative,To all my djs: I'm lookin for a copy of Outkast - In Due Time ... I can't find my soul food cd 
Negative,Going to re watch 'The Secret'. .Wish I had some popcorn 
Negative,@ludiloom is giving me Service Not Available Exceptions...  Could you check that pretty please? Thanks in advance.
Negative,I miss my long hair!!  Randomness!!
Negative,Woke up a little sad that I have no more @NKOTB shows to look forward to 
Negative,@Chip216 that's why u should be here 
Negative,Burned my hand. Smooth move 
Negative,What's with the crappy weather? 
Negative,Calling it a night.... &amp;missing my baby  Â«Hannah.Hdz&amp;aLe.zLta*Â»
Negative,I missed the preveiw due to Jonas in London lmao and I forgot to record it 
Negative,has a cold 
Negative,@jeannebopp I'm ur father. I CANT IM HIM! IT WOULD BE CREEPY AS FUCK!   and he's so cute 
Negative,"I said it before, and I'll say it again: the expensiveness of plane tickets + lack of job = death to my sense of spontaneity. "
Negative, I feel so shitty! FML.
Negative,@tommcfly aa how long do we have to wait 
Negative,my back hurts 
Negative,"yo j, I'm slaving at work  waaa ...we going 2 go see the  hangover 2nite...u down?? bring kourtney! lmao"
Negative,@mattlxs lucky..i wish i was with u 
Negative,is now 22 
Negative,"@Brookeleeadams haha if i could i would - the fact that you can be in the same country as someone but 3,000 miles away is always a hurdle "
Negative,Just been through the car wash with the passengers window down. Surprising how much water can come through the window in about 10 seconds 
Negative,Sitting in Cy's apartment trying to decide what to do for her last night in America.  Im sad.
Negative,sad that the celtics lost 
Negative,@enderthomas Just a quick &quot;hello&quot; Ender.  I miss your tweets.      Hope all is okay?   Luv ya.  Peg   XOXOX
Negative,@ddlovato Oh my gosh! I'm praying for your voice to get better! 
Negative,man I am so easily distracted 
Negative,"Just met with a potential client for an interesting project, unfortunately had to sign a NDA "
Negative,"@amiestuart   I'm so excited!  Must check to see if they're showing reruns of the AW finale, since  I somehow missed it "
Negative,Back home now....still can't watch the  game though.     Go Redwings!
Negative,what is it with these bs blogger fights for pageviews? when will readers learn to leave said blog for these bs games 
Negative,"Omg, I've become really fat. "
Negative,Had 2 wisdom teeth taken out.............. Im in pain. 
Negative,@tabithafanara That's hilarious! But I didn't get a kiss... 
Negative,ouch now that really kinds hurts to be honest 
Negative,NEWS FLASH: FRIJJ NO LONGER HALF PRICE AT TESCO  BUT IT IS AT SAINSBURY'S!!!! OH JOY!!!
Negative,I am wondering why i even bother?! You dont even care 
Negative,I really sorry for the passengers who are desapeared close to brasilian coast. Hope there are survivers! 
Negative,My stomach is killing me 
Negative,is too lazy 
Negative,Ive been soooo sick...better yesterday..took wrong meds last nite! Now u can just shoot me again! Ugggg! 
Negative,@ellieshakes they do tend to drift off in my company 
Negative,Fuck Mr Pizza! Not having anything from there ever again! Feel sorry for the loo 
Negative,"It could be me, that's changing / And so may, we make time / To try and find somebody else / Who has a line... "
Negative,@leydylaura I had a link but it got deleted before I could even watch it 
Negative,"I don't feel like doing anything today, feel a little down. Just one negative thing after the other atm.  http://bit.ly/Ftlsu"
Negative,"@symonty I'm sorry, I just realized we forgot about your party  I hope you're not too disappointed everyone didn't get to meet Bobby..."
Negative,@BiancaModelType oh em gee ur seeing hangover with out me?? 
Negative,i love my @amberbanana and wish she could have seen andr00 acoustic with me. he played our song. car break-into-ers SUCK 
Negative,@sobeworld the 0 calorie ones are hard 2 find; none in the vicinity of work - i'm calorie-conscious and can't do any of the other SoBes 
Negative,Anyone else really bad with hayfever in the night? I had real trouble breathing! 
Negative,"On my way to find clinic to cut the bullet. Ew, pain pain. "
Negative,@rawstarr oh no  older! I already look 12 I prolly couldn't pass as his girlfriend if he lookin old!
Negative,Aria cut her hand open this morning and now she says she doesn't like mommy anymore. 
Negative,boredddd.... its the longest day o the year todayyy woooo... geeeze its not even hot! 
Negative,@shaundiviney shaun u wouldnt happen to know my password for my laptop would you? i finaly got it fixed and i forgot the password  help?
Negative,Laying out with Alba by the pool! Only one week left to be lazy 
Negative,@CinRox awww  I'm sorry...do u want nuts? How bout nuts in ur face?
Negative,"Something is wrong with my phone, all the apps just automatically close themselves out. "
Negative,I can't wait to get a new phone + plane tickets + Yarin's present. Although I should be saving up for college... oh well 
Negative,"I so need a job.  My agency is CRAP, the job market is CRAP, my bank account is CRAP, I FEEL LIKE CRAP."
Negative,Ok it came up...I quit  FML
Negative,Hahahahahaha fuck im so gay with these shoes 
Negative,it's too nice outside to be inside working! 
Negative,@missescarrillo yea puppy moo is 1 now and I swear all of a sudden acting craaazy chewing up stuff?? Awww poor ginger all emotional 
Negative,Can't believe how shite the weather is today.  Its pissin rain 
Negative,@twixie09 sowwie  @RevyCakes haha thank revyyyy
Negative,i really want a blackberry. but i guess i have to wait till november since SPRINT SUCKS 
Negative,Re: Drew's Sub. No bike....  View: http://bit.ly/IK0Oy  by bikingnut
Negative,"@lidaverner I get it really bad every February, but it has been dark for 2 days &amp; raining all today, so starting to get moody today "
Negative,i watched the finale of life with derek. i feel like crying  haha. im gonna miss watching @michaelseater 
Negative,holys**t drop by 37  57. twitter.com
Negative,Bout to go to work. I have no clue when ill get done. 
Negative,@carrielinn83 Life has been very fucked up this week  HA moves too fast for me when I have shit going on.
